frame;red;green;blue
572;99.2368067979;96.5896690519;78.48009839
573;98.0732931727;94.7841365462;78.1952811245
574;98.3953313253;94.6227409639;77.9736445783
575;97.3316489362;93.9627659574;77.2470744681
576;97.4867021277;94.0662234043;77.4696808511
577;99.796875;96.0603365385;80.6526442308
578;99.3965686275;95.6651960784;80.137254902
579;97.7484177215;95.2175632911;78.9285337553
580;98.1939240506;96.0270886076;78.8625316456
581;98.4819466248;96.0345368917;79.2297226583
582;98.4395604396;96.085818943;79.1376242805
583;98.0293311404;95.7694627193;78.9629934211
584;98.0836074561;95.7743969298;78.445997807
585;97.2484057971;94.7788405797;78.0443478261
586;97.1382608696;94.6831884058;77.7231884058
587;101.290990991;98.2045045045;82.2705705706
588;101.481185185;98.405037037;81.9478518519
589;101.325396825;97.8718820862;80.373015873
590;101.325018896;98.0204081633;79.6012849584
591;94.0075716604;88.6446727961;70.0540832883
592;93.8535940803;88.3393234672;69.4048625793
593;93.6257359125;89.4701429773;71.8793103448
594;95.2623688156;91.4475262369;73.2402548726
595;95.1284074605;90.5577474892;74.774748924
596;95.1904591105;90.7948350072;74.87482066
597;93.9458737053;89.5402606081;74.8870698296
598;94.216875412;89.888595913;75.2406064601
599;95.7140625;90.5878125;76.6615625
600;94.9346875;90.1434375;75.7959375
601;95.9549497848;91.5586800574;77.0175035868
602;96.337254902;92.056022409;77.1504201681
603;96.7370689655;91.4583333333;77.6146551724
604;96.5494252874;91.3833333333;77.4752873563
605;96.5132022472;91.766011236;77.4811797753
606;96.4971910112;91.7511235955;77.4561797753
607;96.9457865169;91.7098314607;77.525
608;96.6323863636;91.4346590909;76.5079545455
609;96.8370786517;91.9685393258;76.7898876404
610;96.9738888889;92.145;77.0172222222
611;98.0425361156;93.3967362226;78.7386302836
612;97.6135927651;92.6409975336;77.6089339545
613;97.5651330377;92.7627494457;77.5033259424
614;98.0535714286;93.3576839827;78.3882575758
615;98.3262178435;93.0558292282;78.5457033388
616;98.0593869732;92.810892173;78.4622331691
617;98.1661129568;92.9396456257;78.6196013289
618;98.6203353164;93.5673336939;79.3531638724
619;98.791499599;94.2662389735;79.746057204
620;98.0125634857;94.6578454959;78.9810211173
621;97.6362126246;94.0301771872;78.6733111849
622;97.068579627;93.2014347202;78.3428981349
