frame;red;green;blue
536;108.729907773;106.623941276;92.6337285903
537;108.754598876;106.329458355;92.5995145631
538;108.482700091;105.930800366;92.0039169604
539;108.170666667;106.179382114;91.585495935
540;108.44396748;106.271479675;91.9147317073
541;108.479103494;106.193342123;91.8473302571
542;108.476268952;106.144429796;91.9827949901
543;108.31004878;106.550439024;91.9391219512
544;108.547121951;106.656780488;92.3121300813
545;108.722824302;106.411100164;92.3025287356
546;108.731691297;106.407356322;92.4561576355
547;108.706849845;106.70130289;92.6543472652
548;108.817272962;106.686726006;92.8030830753
549;109.573686215;107.352310231;93.4067656766
550;109.57654227;107.477913176;93.4959380553
551;109.285082733;107.666666667;93.0448402173
552;109.344574965;107.741316155;93.0904382973
553;109.962747525;108.228589109;93.7045792079
554;109.579937304;107.576930459;92.9291152198
555;110.353400294;108.784018937;93.3156547886
556;110.397799245;108.803083616;93.3569829186
557;111.428095465;110.209832053;94.8250492963
558;111.409804855;110.219283334;94.4503297749
559;112.364910951;112.308765947;96.942086649
560;112.706359469;113.475490772;98.0358528271
561;113.304153855;114.081509616;99.3255561584
562;113.523409364;114.174009604;99.5274909964
563;113.279007735;113.345692185;99.0041344358
564;113.513520392;113.93783801;99.6631036457
565;113.620477029;113.905339477;100.3268058
566;113.800243935;114.000474319;100.194335276
567;113.764377104;114.244781145;100.964242424
568;113.972866667;114.465666667;101.058733333
569;113.897923634;114.314032887;101.450041806
570;114.031400966;114.367080745;101.659144237
571;114.767156863;115.259009009;102.930511394
572;114.717673556;115.282061473;103.010201378
573;114.224593496;114.614256678;102.106852497
574;114.31678538;114.723721131;102.247068134
575;113.926619156;114.068212076;101.732946981
576;114.081055682;114.05301903;102.063591511
577;112.895109395;112.176962677;100.494851995
578;112.835926836;112.385931386;100.445263445
579;111.451984127;111.799603175;98.4992063492
580;111.44192217;112.022110849;98.226120283
581;111.946540881;112.161753145;98.745086478
582;112.013823988;112.275798287;99.0589953271
583;112.790630631;113.458108108;100.101801802
584;112.590954591;113.393302393;99.8868868869
585;113.095124536;114.006889242;100.452658541
586;113.003832442;113.862121212;100.157843137
587;114.623918036;115.018371312;101.425366543
588;114.574368486;115.035947712;101.357445681
589;114.362852506;114.508318117;100.197504565
590;114.398753894;114.57602251;99.9699527686
591;112.322043969;111.767676768;97.0596553773
592;112.082953181;111.531332533;96.5566626651
593;112.361135759;111.801685892;97.743566992
594;112.323839426;111.781789639;97.7032967033
595;110.762141349;109.309899391;95.5030431002
596;110.633392004;109.346492331;94.8438521499
597;109.249472574;107.689082278;93.3549578059
598;107.441531043;105.68053044;90.4813140446
599;111.194596443;109.532033744;96.9661422709
600;110.652986776;109.430916553;96.5576835385
601;105.768697614;103.494680851;88.4024822695
602;105.785646237;103.782788187;88.6036837091
603;107.747086247;105.212995338;90.8280885781
604;107.502647838;105.020888497;90.634157105
605;108.386029412;106.55664488;91.9857026144
606;108.366013072;106.544253813;91.9215686275
607;110.829329962;109.214802896;95.8778301345
608;110.590329314;109.098910019;95.1742810761
609;111.381767897;110.485161153;96.5498351239
610;111.388760504;110.663655462;96.6864495798
611;112.741110785;111.779312371;98.5756685278
612;112.71183093;111.584436105;98.2283231286
613;112.984409374;112.10023912;98.5642276423
614;113.053176471;112.330729412;98.8595764706
615;113.633471264;112.707586207;99.684137931
616;113.445149425;112.604689655;99.6501149425
617;113.597793103;112.826482759;99.8156321839
618;113.414956012;112.924303519;99.7494501466
619;113.335085176;113.14443639;100.13301921
620;112.714842334;113.466201522;99.8382566147
621;114.272187524;115.260467268;102.927211042
622;114.300711194;115.211038961;102.88157081
623;114.567923353;115.170821;103.100560835
624;114.719894064;115.024926001;103.105779716
625;114.948407148;115.248329448;102.986946387
626;114.901709402;115.255400155;102.985470085
627;114.875912976;115.349106449;102.925330225
628;114.903962704;115.396891997;102.664335664
629;106.71415996;105.038103622;91.5182344064
630;106.669517103;105.086770624;91.2864688129
631;110.953033744;109.642845555;97.4760707333
632;110.828033744;109.768656716;97.4660934458
633;110.821307431;109.907801418;97.073697194
634;110.716648548;109.97895636;96.5905420096
635;112.509356235;111.967881581;98.9446306382
636;112.542312526;111.954335987;98.7649071359
637;109.867563025;108.861176471;93.9391596639
638;110.003231152;109.163794532;94.3011599006
639;110.931390407;110.201123254;95.9022465088
640;110.645264117;110.34623558;95.5119914997
641;110.389444315;109.868712702;94.6496163683
642;110.38760407;109.920289855;94.8011871724
643;109.938917976;109.171981596;94.2935110265
644;110.26487387;109.149690624;94.3484848485
645;109.371426197;108.044630984;93.3516456117
646;109.707366215;108.669326241;93.6883462282
647;109.043979933;107.896488294;92.8747491639
648;108.87090301;107.940301003;92.4471571906
649;108.608717561;107.100277148;92.1870328378
650;108.747839096;107.288730053;92.6341422872
651;109.448595849;107.58966219;93.6341066341
652;109.222470238;107.306299603;93.253885582
653;109.209090909;107.729665072;93.3312599681
654;109.388118022;107.821610845;93.6283094099
655;109.94047619;108.180438842;94.462107065
656;109.91145347;108.234204793;94.3652349829
657;108.989712919;107.583652313;93.070414673
